shop,pref,ward,stations,genre,genres,tabelog_score,awards,feature,source_url
支那蕎麦 澤田,東京都,新宿区,新宿区・新宿御苑前駅,醤油（淡麗）,醤油・中華そば,3.76,,淡麗醤油の実力店,https://tabelog.com/ramen/tokyo/A1304/A130402/rank
風雲児 新宿本店,東京都,渋谷区,渋谷区・新宿駅,つけ麺（濃厚鶏白湯×魚介）,つけ麺/鶏白湯/貝・魚介系,3.76,,連日行列の全国区。住所は渋谷区代々木、新宿駅6番出口1分,https://tabelog.com/tokyo/A1304/A130401/13044091
新橋 纏（まとい）,東京都,港区,港区・新橋駅,鶏清湯・醤油/塩,塩/醤油・中華そば,3.76,,路地裏の名店、コスパ良,https://tabelog.com/ramen/tokyo/A1301/A130103/rank
自家製麺 ロビンソン,東京都,港区,港区・虎ノ門駅,中華そば・つけ麺,つけ麺/醤油・中華そば,3.76,,自家製平打ち麺、行列店／虎ノ門ヒルズ2分,https://tabelog.com/tokyo/A1308/A130802/13264815
ラーメン 三浦家,東京都,葛飾区,葛飾区・金町駅,家系（豚骨醤油）,家系/豚骨・博多/醤油・中華そば,3.76,,横浜家系「武蔵家」総大将の地元凱旋店、駅周辺No.1人気,https://tabelog.com/tokyo/A1324/A132403/13261888
麺屋 Hulu-lu,東京都,豊島区,豊島区・池袋駅,醤油そば（地鶏×煮干し）,煮干し/油そば・まぜそば・汁なし/醤油・中華そば,3.76,百名店,キレある醤油そば、西口側,https://tabelog.com/tokyo/A1305/A130501/13136428
まるえ中華そば 巣鴨,東京都,豊島区,豊島区・巣鴨駅,中華そば（自家製太麺）,醤油・中華そば,3.76,,多賀野系列・旧「蔦」跡地、分厚い炙りチャーシュー,https://tabelog.com/tokyo/A1323/A132301/13248342
地球の中華そば,神奈川県,横浜中心部,横浜中心部,中華そば（塩・醤油）,塩/醤油・中華そば,3.76,百名店,EAST百名店常連,https://tabelog.com/kanagawa/A1401/A140104/14056490
流星軒,神奈川県,横浜中心部,横浜中心部,醤油（和出汁）,醤油・中華そば,3.76,百名店,2000年開業の名店、芳醇な醤油,https://tabelog.com/ramen/kanagawa/A1401/A140306/rank
ラーメン星印,神奈川県,横浜中心部,横浜中心部,清湯 醤油・塩,塩/醤油・中華そば,3.76,百名店,支那そばや(佐野実)系譜、反町4-5分,https://tabelog.com/kanagawa/A1401/A140205/14054005
ラーメン 環2家,神奈川県,横浜中心部,横浜中心部,家系,家系,3.76,,バランスの良い家系、上大岡圏の代表,https://tabelog.com/ramen/kanagawa/A1401/A140307/rank
中華そば 笑歩,神奈川県,横浜北部,横浜北部・綱島駅,醤油・つけ麺,つけ麺/醤油・中華そば,3.76,百名店,「多賀野」出身、エリア最高評価,https://tabelog.com/ramen/kanagawa/A1401/A140204/rank
麺処 はら田,埼玉県,さいたま市,さいたま市・南浦和駅,醤油・昆布水つけ麺,つけ麺/醤油・中華そば,3.75,,東十条「麺処ほん田」出身、昆布水つけ麺、東口5分,https://tabelog.com/ramen/saitama/A1101/A110102/rank
手揉み中華そば 中村,埼玉県,さいたま市北部,さいたま市北部・大宮駅,中華そば,醤油・中華そば,3.75,百名店,狼煙系列の手揉み平打ち麺＋醤油・塩、東口5分,https://tabelog.com/saitama/A1101/A110101/11053705
らーめん梶原,東京都,世田谷区,世田谷区・千歳烏山駅,背脂煮干し醤油,煮干し/醤油・中華そば,3.75,,王道醤油を現代的に磨いた一杯,https://tabelog.com/ramen/tokyo/A1318/A131809/rank
食堂 七彩,東京都,中野区,中野区・都立家政駅,喜多方（中華そば）,醤油・中華そば/ご当地・地域系,3.75,,無化調・自家製手切り麺の淡麗、行列店／駅3分,https://tabelog.com/tokyo/A1321/A132104/13145418
自家製麺 伊藤,東京都,北区,北区・赤羽駅,煮干し中華そば,煮干し/醤油・中華そば,3.75,ビブグルマン,九十九里産煮干し、比内鶏の肉そばも／東口すぐ,https://tabelog.com/tokyo/A1323/A132305/13090799
神田ラーメン わいず,東京都,千代田区,千代田区・神田駅,家系（豚骨醤油）,家系/豚骨・博多/醤油・中華そば,3.75,,鶏油香る濃厚スープ、ランチ行列の定番,https://tabelog.com/ramen/tokyo/A1310/A131002/rank
中華そば 勝本,東京都,千代田区,千代田区・水道橋駅,醤油・塩（雲呑）,ワンタン麺/塩/醤油・中華そば,3.75,,透明感ある煮干し＋出汁、雲呑麺が看板,https://tabelog.com/ramen/tokyo/A1310/A131003/rank
海老丸らーめん,東京都,千代田区,千代田区・水道橋駅,塩・濃厚（オマール海老）,貝・魚介系/塩,3.75,,フレンチ出身店主のビスク仕立て,https://tabelog.com/ramen/tokyo/A1310/A131003/rank
四川担担麺 阿吽 湯島本店,東京都,台東区,台東区・上野広小路駅,担々麺,担々麺・四川・麻婆,3.75,,四川系本格担々麺、エリア最高峰,https://tabelog.com/ramen/tokyo/A1311/rank
中華ソバ ビリケン,東京都,台東区,台東区・浅草駅,醤油（鴨＋鶏）,鴨/醤油・中華そば,3.75,,鴨と鶏の旨味を凝縮、自家製麺／徒歩2〜3分,https://tabelog.com/ramen/tokyo/A1311/A131102/rank
中華蕎麦 無冠,東京都,品川区,品川区・五反田駅,清湯・牡蠣塩,貝・魚介系/塩/醤油・中華そば,3.75,,イカ墨入り「ブラック牡蠣塩」,https://tabelog.com/ramen/tokyo/A1316/A131603/rank
麺壱 吉兆,東京都,品川区,品川区・大井町駅,中華そば（白河系）,醤油・中華そば/ご当地・地域系,3.75,,青竹打ち、鶏ガラ醤油＋平打ち縮れ麺,https://tabelog.com/tokyo/A1315/A131501/13134691
麺屋 ねむ瑠,東京都,文京区,文京区・本郷三丁目駅,煮干し（濃厚）,煮干し,3.75,,通称「バカニボ」、濃厚なのに飲みやすい,https://tabelog.com/tokyo/A1310/A131004/13186981
渡なべ,東京都,新宿区,新宿区・高田馬場駅,魚介豚骨,豚骨・博多/貝・魚介系,3.75,,濃厚魚介豚骨のパイオニア的名店,https://tabelog.com/tokyo/A1305/A130503/13000121
クラム＆ボニート 貝節麺ライク,東京都,杉並区,杉並区・方南町駅,貝×鰹（潮そば）,貝・魚介系,3.75,,貝と鰹の旨味が突出,https://tabelog.com/tokyo/A1319/A131903/R9010/rstLst/ramen
濃厚ラーメン かなや,東京都,杉並区,杉並区・方南町駅,背脂豚骨・台湾まぜそば,豚骨・博多/油そば・まぜそば・汁なし,3.75,,超高濃度スープ,https://tabelog.com/tokyo/A1319/A131903/R9010/rstLst/ramen
中華麺店 喜楽,東京都,渋谷区,渋谷区・渋谷駅,醤油（もやし麺・ワンタン麺）,ワンタン麺/醤油・中華そば,3.75,,1952年創業の老舗、ハチ公口8分,https://tabelog.com/tokyo/A1303/A130301/13001705
親鶏中華そば 綾川 本店,東京都,渋谷区,渋谷区・恵比寿駅,鶏清湯・極太麺,醤油・中華そば,3.75,,恵比寿1位、行列必至の実力店,https://tabelog.com/tokyo/A1303/A130302/13253970
麺や でこ,神奈川県,川崎市北部,川崎市北部・武蔵小杉駅,煮干しらーめん,煮干し,3.75,百名店,川崎を代表する淡麗煮干し（新丸子/武蔵小杉）,https://tabelog.com/kanagawa/A1405/A140504/14054555
豚星。,神奈川県,川崎市北部,川崎市北部・元住吉駅,二郎インスパイア,二郎・二郎系,3.75,百名店,全国二郎系で食べログ1位経験のレジェンド、東口10分,https://tabelog.com/kanagawa/A1405/A140504/14058333
ラーメン二郎 中山駅前店,神奈川県,横浜北部,横浜北部・中山駅,二郎系,二郎・二郎系,3.75,百名店,甘い脂と黒胡椒、駅3分,https://tabelog.com/kanagawa/C14113/C38371/rstLst/ramen
厚木本丸亭,神奈川県,県央・相模原,県央・相模原・本厚木駅,塩ラーメン,塩,3.75,百名店,鶏・豚足＋魚介の淡麗塩、肉ワンタン、駅7分,https://tabelog.com/kanagawa/A1408/A140802/14000181
Noodle&Spice curry 今日の1番,埼玉県,川口・蕨・戸田,川口・蕨・戸田・川口駅,煮干しラーメン＋スパイスカレー,煮干し/ご当地・地域系,3.74,,西口7分、朝から行列、日替わり煮干しそば,https://tabelog.com/saitama/A1102/A110201/R2843/rstLst/ramen
覆めん 花木,東京都,中野区,中野区・東中野駅,ラーメン（あっさり）・わんたん,ワンタン麺,3.74,,あっさり系＋わんたん／徒歩4分弱,https://tabelog.com/tokyo/A1319/A131901/13252274
麺巧 潮（うしお）,東京都,千代田区,千代田区・淡路町駅,醤油・鶏白湯,鶏白湯/醤油・中華そば,3.74,,「にほんいち醤油そば」「鶏白湯そば」,https://tabelog.com/ramen/tokyo/A1310/A131002/rank
覆麺 智（ふくめん とも）,東京都,千代田区,千代田区・神保町駅,醤油（地鶏・乾物）,醤油・中華そば,3.74,,阿波尾鶏出汁、限定も豊富な行列店,https://tabelog.com/ramen/tokyo/A1310/A131003/rank
覆麺 智,東京都,千代田区,千代田区・竹橋駅,醤油（地鶏）,醤油・中華そば,3.74,,竹橋からも徒歩圏（主たる最寄りは神保町）,https://tabelog.com/ramen/tokyo/A1310/A131003/rank
青島食堂 秋葉原店,東京都,千代田区,千代田区・末広町駅,醤油（長岡生姜醤油）,醤油・中華そば/ご当地・地域系,3.74,,生姜醤油ラーメンの名店、常時行列（最寄り岩本町）,https://tabelog.com/tokyo/A1310/A131001/13094776
らーめん 鴨to葱 上野御徒町本店,東京都,台東区,台東区・御徒町駅 / 台東区・上野広小路駅,鴨清湯醤油,鴨/醤油・中華そば,3.74,,国産鴨の澄んだ旨味＋葱、口コミ多数,https://tabelog.com/tokyo/A1311/A131101/13312953
自家製麺 うるち,東京都,台東区,台東区・田原町駅,ラーメン,その他・創作,3.74,,田原町／浅草の高評価自家製麺店,https://tabelog.com/ramen/tokyo/A1311/A131102/rank
支那そば大和 稲荷町本店,東京都,台東区,台東区・稲荷町駅,ワンタン麺（清湯）,ワンタン麺/醤油・中華そば,3.74,,魚介＋動物系清湯にエビ・豚ワンタン／徒歩2分,https://tabelog.com/tokyo/A1311/A131101/13206756
らーめん 稲荷屋,東京都,台東区,台東区・稲荷町駅,ラーメン（フレンチ出身）,その他・創作,3.74,,仏技法＋週替り限定の革新派,https://tabelog.com/tokyo/A1311/A131101/13180646
中華そば 満鶏軒,東京都,墨田区,墨田区・錦糸町駅,鴨中華そば・鴨つけ麺,つけ麺/鴨/醤油・中華そば,3.74,,鴨と水のみの無化調出汁、行列店,https://tabelog.com/tokyo/A1312/A131201/13220773
麺屋海神 新宿店,東京都,新宿区,新宿区・新宿駅,塩・魚介,貝・魚介系/塩,3.74,百名店,鮮魚アラの塩スープ、〆の「あら飯」,https://tabelog.com/tokyo/A1304/A130401/13045287
永福町大勝軒,東京都,杉並区,杉並区・永福町駅,煮干し醤油,煮干し/醤油・中華そば,3.74,,「永福町系」源流、ラード＋自家製麺2玉,https://tabelog.com/tokyo/A1318/A131805/13011769
中華めん処 道頓堀,東京都,板橋区,板橋区・地下鉄成増駅,中華そば,醤油・中華そば,3.74,,エリア上位,https://tabelog.com/ramen/tokyo/A1322/A132204/rank
魂の中華そば,東京都,板橋区,板橋区・上板橋駅,中華そば（魚介×動物W）,貝・魚介系/醤油・中華そば,3.74,,自家製多加水麺、ラーメンWalkerグランプリ東京2024銅賞／駅2分,https://tabelog.com/tokyo/A1322/A132203/13190096
麺屋 ルリカケス,東京都,江東区,江東区・木場駅,ラーメン,その他・創作,3.74,,木場/東陽町圏の高評価店,https://tabelog.com/tokyo/A1313/A131303/13273342
MENクライ,東京都,港区,港区・浜松町駅,鶏清湯系,醤油・中華そば,3.74,,エリア1位の鶏清湯,https://tabelog.com/ramen/tokyo/A1314/A131401/rank
Dad's Ramen 夢にでてきた中華そば,東京都,目黒区,目黒区・自由が丘駅,煮干し中華そば,煮干し/醤油・中華そば,3.74,,「自家製麺伊藤」出身、TRY新人賞煮干部門1位／エリア1位,https://tabelog.com/tokyo/A1317/A131703/13274077
えどもんど 西日暮里店,東京都,荒川区,荒川区・西日暮里駅,二郎系,二郎・二郎系,3.74,,富士丸系の濃い味付け・大ボリューム,https://tabelog.com/tokyo/A1311/A131105/13253804
陽はまたのぼる,東京都,足立区,足立区・綾瀬駅,煮干しラーメン・つけ麺,煮干し/つけ麺,3.74,百名店,「麺処 晴」「ほん田」出身の濃厚煮干し、綾瀬1位／東口7分（昼中心・要確認）,https://tabelog.com/tokyo/A1324/A132404/13206995
啜磨専科（すするません）,神奈川県,横浜中心部,横浜中心部,創作・淡麗,その他・創作,3.74,,スープ評価が高い、独自トッピング,https://tabelog.com/ramen/kanagawa/A1401/A140307/rank
らー麺土俵 鶴嶺峰,神奈川県,横浜中心部,横浜中心部,つけ麺,つけ麺,3.74,百名店,元力士店主の人気店、徒歩5分,https://tabelog.com/ramen/kanagawa/A1401/A140210/rank
らぁ麺 松しん,神奈川県,横浜中心部,横浜中心部,正統派中華そば,醤油・中華そば,3.74,百名店,京急鶴見・鶴見小野圏,https://tabelog.com/ramen/kanagawa/A1401/A140210/rank
白河手打中華そば こすが,神奈川県,横浜北部,横浜北部・あざみ野駅,白河系,ご当地・地域系,3.74,,白河「とら食堂」系、もちもち手打ち麺,https://tabelog.com/ramen/kanagawa/A1401/A140201/rank
自家製麺 カミカゼ,神奈川県,横浜南西部,横浜南西部・戸塚駅,中華そば,醤油・中華そば,3.74,百名店,出汁にこだわる淡麗系,https://tabelog.com/ramen/kanagawa/A1401/A140305/rank
地球の中華そば,神奈川県,横浜南西部,横浜南西部・金沢文庫駅,中華そば,醤油・中華そば,3.74,百名店,臨海部の淡麗系最高峰、駅2分・月日休,https://tabelog.com/kanagawa/A1401/A140310/14089878
らーめん 藁（わら）,神奈川県,湘南・県西,湘南・県西・辻堂駅,ラーメン,その他・創作,3.74,,辻堂エリア最高評価クラスの人気店,https://tabelog.com/ramen/kanagawa/A1404/A140404/rank
柳麺 呉田（ごでん）,埼玉県,さいたま市,さいたま市・北浦和駅,醤油・塩（淡麗）,塩/醤油・中華そば,3.73,百名店,護国寺「ちゃぶ屋」出身、西口2分・月休,https://tabelog.com/saitama/A1101/A110102/11038398
ラーメン二郎 川越店,埼玉県,川越・東武東上線,川越・東武東上線・川越駅,二郎系,二郎・二郎系,3.73,,川越駅最寄りの二郎,https://tabelog.com/saitama/A1103/A110303/11043900
らーめん カッパハウス,埼玉県,西武沿線エリア,西武沿線エリア・所沢駅,濃厚トマト,その他・創作,3.73,百名店,豚骨魚介＋完熟トマトの唯一無二、西口3分・地域No.1,https://tabelog.com/saitama/A1106/A110601/11035922
中華そば こてつ,東京都,世田谷区,世田谷区・下北沢駅,醤油中華そば,醤油・中華そば,3.73,,鰹が香る濃厚醤油、ミシュラン掲載歴,https://tabelog.com/ramen/tokyo/A1318/A131802/rank
駄目な隣人 人形町店,東京都,中央区,中央区・人形町駅,醤油,醤油・中華そば,3.73,,本醸造醤油×野菜だし×生姜、無料トッピング、行列,https://tabelog.com/tokyo/A1302/A130204/13255889
麺屋 はし本,東京都,中野区,中野区・中野駅,濃厚魚介豚骨,豚骨・博多/貝・魚介系,3.73,百名店,エリア最高評価、売切れ仕舞い注意／北口9分,https://tabelog.com/tokyo/A1319/A131902/13205769
